Uniprot_A,Uniprot_B,author_score
Q494U1-3,Q96T49-1, 0.687102338519
Q6PEX3,Q9BYR5, 0.810626630829
Q8TD31-1,Q969V4, 0.900720670337
P49760-3,O00560-1,-
O60895-1,P80188-1, 0.836683911342
Q12846-1,Q8TDT2, 0.624460013636
P84101-3,B8A4K4, 0.95348424523
P40222,Q8N3L3,-
Q16656-4,Q8NEQ6,-
P61601,Q86UW9-1,-
Q13277-1,Q8TDT2, 0.667686940184
P78385,Q7Z3S9-1, 0.896950086729
O14627,P25791-1,-
Q96S99,Q96EK5,-
A0A087X0W2,Q6P2R3,-
Q8TD06,Q9UMX0-2,-
Q9NRQ2-1,P60410, 0.80922217141
Q8N9N5-2,Q96QF0-7,-
Q9ULV5-2,Q3LI66, 0.806849263862
P24593,Q8IVF2-2, 0.793849741131
Q8N5A5-3,Q7L4P6-1,-
Q08117-2,Q8N5A5-2, 0.915609256416
O15342,P05090, 0.706766575696
P11686,Q3MIR4, 0.69415335549
F8WBZ3,P15941-11, 0.651792849699
Q3B820-1,Q6PI77, 0.913722893797
P62140,Q9UQK1, 0.894073325355
Q92911,ENSP00000462298.1, 0.879526935976
Q8WWY3-1,Q9Y2D8-1,-
G3V5E1,Q9BRK4,-
P15173,Q9UI47-1, 0.827076704272
Q2WGJ6,P78358-1, 0.913942266882
P61266-1,Q96MY7-2, 0.79714644145
Q9H0I2-1,Q9C0F3,-
A0A0A0MR09,O43889-2,-
Q15654-1,Q13895,-
O14863,Q9Y5U9, 0.67822829784
Q9BYQ4,O76003, 0.932347509113
O75351,H3BRF9, 0.892184276538
Q8IYH5-1,Q9NRD5-1, 0.883694643108
O00155,Q6N075-1, 0.662909543573
A0A087X2F1,Q5JR59-3,-
Q8N609,P11912-1, 0.676903052273
P60329,Q3V5L5-5, 0.899859662796
Q8WXB1-1,Q8WXE1-3,-
Q8NDC0,Q01844-3,-
Q96NT3-2,Q3LI72, 0.820556230348
O14966-1,Q8N7W2-2,-
A6ZKI3,P42772-1, 0.833771695854
Q13895,Q12933-1, 0.924104382435
Q16385-2,Q6A162,-
O96006,Q13131-1,-
O76071,Q68CZ6-1, 0.824586211065
Q7L5A3-1,Q9P2Y4, 0.779354282546
Q15800-1,Q6NT55, 0.752113938194
A6NDS4,Q99750, 0.901033622312
P26447,P23297, 0.941510005623
Q8TBB1-2,Q13155,-
Q8IYI6,G8JLG2, 0.808767115955
Q13895,Q8IZU0-1,-
P60328,Q7Z3S9-1, 0.943338637639
P48165,Q7RTS6, 0.688706808319
Q96CN5,Q7RTT5,-
P06239-3,Q9GZU7-1, 0.787597008049
Q2TAC2-2,Q9HCD5, 0.86705209443
P08670,Q08117-2, 0.90210807467
Q13064,Q9NP55-1, 0.784366309867
Q9NP91-1,P60409,-
P14373-1,Q96A72, 0.897389961121
P63165-1,Q5BIX2,-
Q12905,P26641-1,-
O75506,Q8TD31-1,-
Q9H322,Q9NVV9-1, 0.907090885469
Q5JUK2-1,Q86UW9-1, 0.818606154475
O76083-2,P60411-1, 0.883137863977
O43759-2,Q86VR2-1, 0.652044336038
Q8TBE0-1,Q8IUB9,-
P60201-2,Q8TAF8,-
Q96MF2-2,Q9H0I2-1, 0.916702263416
Q63ZY3-1,Q8IVW4-1, 0.877417657972
Q9Y5Z9-1,Q96KR7-1, 0.676934495949
P11836-1,Q5JXX7, 0.845851002603
P14678-2,Q02447-1, 0.876972993942
Q9NTJ5-1,Q96BA8-1, 0.884597717869
P55040,P14373-1,-
ENSP00000406407.2,Q9C005, 0.867835080777
O76011,Q3SYF9, 0.726825404676
Q9C005,Q8WWB3-1, 0.936781425286
P15531-1,Q9GZT8-1,-
O60336-1,Q99081-3,-
S4R3B8,Q96K58, 0.829347614873
Q969K7-1,Q96SA4-1, 0.697097277846
Q96CD0,Q9NRD5-1, 0.922415101554
Q16385-2,Q8N0S2-1,-
G3V5E1,Q3SYF9, 0.66087731813
Q96LR7,O15217-1,-
Q86UR1-2,C9J9W2, 0.798016122409
Q9BV47-1,Q9BWT7-1, 0.847406314482
P14373-1,Q9BQ89,-
P09012,A0A0C4DGT9,-
O43521-1,Q13064, 0.784366309867
Q9H9S4,Q9UQR0-1, 0.811510421153
P49760-1,P49761-1,-
P48723,Q9UMX0-1, 0.885580218118
Q6P2R3,ENSP00000476265.1,-
Q2TAC2-2,Q6ZT89-3, 0.776423049971
O15305-1,Q96HD9,-
P78543,Q9UFF9-1,-
Q6UXP7,Q9C019-1,-
O75716,Q6UY14-1,-
Q7L5A8-1,O00623, 0.674640905846
O95967,P10745, 0.79990929806
P61970,Q9BYQ0, 0.819406544096
Q92520,Q96CE8,-
P60059,O43889-2,-
P15173,Q70UQ0-4,-
Q16617,Q96HJ5-1, 0.813412520911
Q6ZN57,Q9NYL2-2, 0.897565160135
O00308-1,Q3B8N2-1,-
Q9UKJ5,Q7Z3S9-1,-
Q15848,Q9BQA9-1, 0.673625375056
