Uniprot_A	Uniprot_B
P60228	Q99613
P14373	P60228
P60228	P14373
P14373	P60228
P14373	P60228
P60228	P29590
P60228	P14373
Q63635	Q15075
Q15075	Q63635
Q63635	Q15075
Q63635	Q15075
P01308	P01308
Q14790-PRO_0000004629	Q14790-PRO_0000004631
Q14790-PRO_0000004629	Q14790-PRO_0000004631
P19814	O35867
Q9JJ50	P42566
Q9JJ50	P42566
P19814	O35867
P42566	Q9JJ50
P07174	Q9BUZ4
P07174	P70191
P07174	Q9Y4K3
P07174	Q13077
Q13114	P07174
Q12933	P07174
P07174	Q12933
Q9BUZ4	P07174
P07174	Q12933
Q9BUZ4	P07174
P03230	P03230
P03230	Q12933
P03230	Q12933
P03230	Q12933
P25942	P25942
P25942	Q12933
P25942	Q12933
P25942	Q12933
P20334	P20334
P20334	P20334
P20334	Q12933
P20334	Q12933
P20334	Q12933
P43489	P43489
P43489	P43489
P43489	Q12933
P43489	Q12933
P43489	Q12933
P28908	P28908
P28908	P28908
P28908	Q12933
P28908	Q12933
P28908	Q12933
P25942	P25942
P25942	P25942
P25942	Q12933
P25942	Q12933
P25942	Q12933
Q09472	Q9QXM1
Q09472	Q9QXM1
Q9QXM1	Q09472
Q09472	Q9QXM1
Q09472	Q9QXM1
Q09472	Q9QXM1
Q09472	Q9QXM1
Q09472	Q9QXM1
Q09472	Q9QXM1
Q09472	Q9QXM1
Q9QXM1	Q09472
Q09472	Q9QXM1
Q09472	Q9QXM1
Q09472	Q9QXM1
Q09472	Q9QXM1
Q9QXM1	Q09472
Q09472	P04637
P04637	Q8N9B5
P51178	P21980
O14920	Q04206
P12931	Q14289
Q60631	Q02858
Q03160	Q02858
Q60631	Q02858
Q03160	Q02858
Q60631	Q02858
Q03160	Q02858
P62993	Q02858
Q14451	Q02858
Q61831	Q9ESN9
Q91Y86	Q9ESN9-2
Q9ESN9-2	Q61831
Q9ESN9-2	Q9WTU6
Q9ESN9-2	P47809
Q9ESN9-2	P31938
Q9ESN9-2	P47809
P31938	Q9ESN9-2
Q9ESN9-2	P47809
Q9ESN9-2	P31938
Q9ESN9-2	P53349
Q9ESN9-2	P04049
Q9ESN9-2	P53349
Q9ESN9-2	P04049
Q61831	Q9ESN9-2
P53349	Q9ESN9-2
Q9ESN9-2	Q61831
Q9ESN9-2	Q61831
P53349	P47809
"chebi:""CHEBI:15996"""	P52294
"chebi:""CHEBI:15996"""	P62826
"chebi:""CHEBI:15996"""	P55060
"chebi:""CHEBI:15996"""	P62826
"chebi:""CHEBI:15996"""	P55060
"chebi:""CHEBI:15996"""	O00629
"chebi:""CHEBI:15996"""	P62826
"chebi:""CHEBI:15996"""	P55060
"chebi:""CHEBI:15996"""	P52292
"chebi:""CHEBI:15996"""	P62826
"chebi:""CHEBI:15996"""	P55060
"chebi:""CHEBI:15996"""	O00505
"chebi:""CHEBI:15996"""	P62826
"chebi:""CHEBI:15996"""	P55060
"chebi:""CHEBI:15996"""	O60684
"chebi:""CHEBI:15996"""	P62826
"chebi:""CHEBI:15996"""	P55060
